,radius_m,density_kgm3,Vpv_ms,Vsv_ms,Q_kappa,Q_mu,Vph_ms,Vsh_ms,eta
0,0.0,13088.5,11262.2,3667.8,100000.0,104.0,11262.2,3667.8,1.0
1,12858.0,13088.46,11262.17,3667.78,100000.0,104.0,11262.17,3667.78,1.0
2,25716.0,13088.36,11262.1,3667.73,100000.0,104.0,11262.1,3667.73,1.0
3,38574.0,13088.18,11261.97,3667.64,100000.0,104.0,11261.97,3667.64,1.0
4,51432.0,13087.92,11261.79,3667.51,100000.0,104.0,11261.79,3667.51,1.0
5,64289.0,13087.6,11261.55,3667.35,100000.0,104.0,11261.55,3667.35,1.0
6,77147.0,13087.2,11261.27,3667.15,100000.0,104.0,11261.27,3667.15,1.0
7,90005.0,13086.74,11260.93,3666.91,100000.0,104.0,11260.93,3666.91,1.0
8,102863.0,13086.2,11260.54,3666.64,100000.0,104.0,11260.54,3666.64,1.0
9,115721.0,13085.58,11260.1,3666.33,100000.0,104.0,11260.1,3666.33,1.0
10,128579.0,13084.9,11259.61,3665.99,100000.0,104.0,11259.61,3665.99,1.0
11,141437.0,13084.14,11259.06,3665.61,100000.0,104.0,11259.06,3665.61,1.0
12,154295.0,13083.32,11258.47,3665.19,100000.0,104.0,11258.47,3665.19,1.0
13,167153.0,13082.42,11257.82,3664.74,100000.0,104.0,11257.82,3664.74,1.0
14,180011.0,13081.44,11257.12,3664.25,100000.0,104.0,11257.12,3664.25,1.0
15,192868.0,13080.4,11256.37,3663.72,100000.0,104.0,11256.37,3663.72,1.0
16,205726.0,13079.28,11255.56,3663.16,100000.0,104.0,11255.56,3663.16,1.0
17,218584.0,13078.1,11254.71,3662.56,100000.0,104.0,11254.71,3662.56,1.0
18,231442.0,13076.84,11253.8,3661.93,100000.0,104.0,11253.8,3661.93,1.0
19,244300.0,13075.5,11252.84,3661.26,100000.0,104.0,11252.84,3661.26,1.0
20,257158.0,13074.1,11251.83,3660.55,100000.0,104.0,11251.83,3660.55,1.0
21,270016.0,13072.62,11250.77,3659.81,100000.0,104.0,11250.77,3659.81,1.0
22,282874.0,13071.08,11249.65,3659.03,100000.0,104.0,11249.65,3659.03,1.0
23,295732.0,13069.46,11248.49,3658.22,100000.0,104.0,11248.49,3658.22,1.0
24,308589.0,13067.76,11247.27,3657.37,100000.0,104.0,11247.27,3657.37,1.0
25,321447.0,13066.0,11246.0,3656.48,100000.0,104.0,11246.0,3656.48,1.0
26,334305.0,13064.17,11244.68,3655.55,100000.0,104.0,11244.68,3655.55,1.0
27,347163.0,13062.26,11243.3,3654.59,100000.0,104.0,11243.3,3654.59,1.0
28,360021.0,13060.28,11241.88,3653.6,100000.0,104.0,11241.88,3653.6,1.0
29,372879.0,13058.23,11240.4,3652.57,100000.0,104.0,11240.4,3652.57,1.0
30,385737.0,13056.1,11238.87,3651.5,100000.0,104.0,11238.87,3651.5,1.0
31,398595.0,13053.91,11237.29,3650.39,100000.0,104.0,11237.29,3650.39,1.0
